"","SAMPLE_ID","GENUS","GENUS_NAME","CVM_NUMBER","GROWTH","SPECIES","SEROTYPE","ANTIGENIC_FORMULA","ISOLATE_ID","RECEIVED_DATE","PLATE","STATE","Month","Year","MEAT_TYPE","CUTS","SELLBY_DATE","ACQUISITION_DATE","COMPLETED_BY","ORGANIC_IND","ANTIBIOTIC_IND","COUNTRY_OF_ORIGIN","AGENCY","SOURCE","HOST_SPECIES","SOURCE_SPECIES_INFO","AMC.Sign","AMC","AMC.SIR","AMI.Sign","AMI","AMI.SIR","AMP.Sign","AMP","AMP.SIR","ATM.Sign","ATM","ATM.SIR","AXO.Sign","AXO","AXO.SIR","AZI.Sign","AZI","AZI.SIR","BAC.Sign","BAC","BAC.SIR","CAZ.Sign","CAZ","CAZ.SIR","CCV.Sign","CCV","CCV.SIR","CEP.Sign","CEP","CEP.SIR","CEQ.Sign","CEQ","CEQ.SIR","CHL.Sign","CHL","CHL.SIR","CIP.Sign","CIP","CIP.SIR","CLI.Sign","CLI","CLI.SIR","COT.Sign","COT","COT.SIR","CTC.Sign","CTC","CTC.SIR","CTX.Sign","CTX","CTX.SIR","DAP.Sign","DAP","DAP.SIR","DOX.Sign","DOX","DOX.SIR","ERY.Sign","ERY","ERY.SIR","FEP.Sign","FEP","FEP.SIR","FFN.Sign","FFN","FFN.SIR","FIS.Sign","FIS","FIS.SIR","FLA.Sign","FLA","FLA.SIR","FOX.Sign","FOX","FOX.SIR","GEN.Sign","GEN","GEN.SIR","IMI.Sign","IMI","IMI.SIR","KAN.Sign","KAN","KAN.SIR","LIN.Sign","LIN","LIN.SIR","LZD.Sign","LZD","LZD.SIR","MER.Sign","MER","MER.SIR","NAL.Sign","NAL","NAL.SIR","NIT.Sign","NIT","NIT.SIR","PEN.Sign","PEN","PEN.SIR","PTZ.Sign","PTZ","PTZ.SIR","QDA.Sign","QDA","QDA.SIR","SAL.Sign","SAL","SAL.SIR","SMX.Sign","SMX","SMX.SIR","STR.Sign","Str","STR.SIR","TEL.Sign","TEL","TEL.SIR","TET.Sign","TET","TET.SIR","TGC.Sign","TGC","TGC.SIR","TIO.Sign","TIO","TIO.SIR","TYL.Sign","TYL","TYL.SIR","VAN.Sign","VAN","VAN.SIR","APR.Sign","APR","DAN.Sign","DAN","DIF.Sign","DIF","EFX.Sign","EFX","GAT.Sign","GAT","LVX.Sign","LVX","MAR.Sign","MAR","OBX.Sign","OBX","TIC.Sign","TIC","GENOTYPE","ACCESSION_NUMBER","Aminoglycoside.Resist.Genes","Beta.lactam.Resist.Genes","Glycopeptide.Resist.Genes","Macrolide.Resist.Genes","QAC.Resist.Genes","Quinolone.Resist.Genes","Sulfonamide.Resist.Genes","Tetracycline.Resist.Genes","Trimethoprim.Resist.Genes","Phenicol.Resist.Genes","Other.Classes.Resist.Genes","cefres"
"11","03CAAUGGT073","S","Salmonella","32999","YES","","Reading","","03CAAUGGT073-S","","CMV7CNCD","CA",8,2003,"GT","","8/17/03","8/11/03","","","","","FDA","Retail Ground Turkey","Turkeys","","<=",1,"S","=",2,"S","=",2,"S","",NA,"","<=",0.25,"S","",NA,"","",NA,"","",NA,"","",NA,NA,"=",8,"S","",NA,NA,"=",8,"S","<=",0.015,"S","",NA,"","<=",0.125,"S","",NA,NA,"",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","=",4,"S","=",0.5,"S","",NA,"","<=",8,"S","",NA,"","",NA,"","",NA,"","=",4,"S","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","<=",16,"S","<=",32,"S","",NA,"",">",32,"R","",NA,"","=",1,"S","",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","",NA,NA,NA,"","","","","",NA,"N"
"19","03CADECGT120","S","Salmonella","33002","YES","","Hadar","","03CADECCK120-S","","CMV7CNCD","CA",12,2003,"GT","","1/12/04","12/30/03","","","","","FDA","Retail Ground Turkey","Turkeys","","=",4,"S","=",1,"S","=",4,"S","",NA,"","<=",0.25,"S","",NA,"","",NA,"","",NA,"","",NA,NA,"=",16,"I","",NA,NA,"=",16,"I","=",0.06,"S","",NA,"","<=",0.125,"S","",NA,NA,"",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","=",8,"S","=",1,"S","",NA,"","<=",8,"S","",NA,"","",NA,"","",NA,"","=",8,"S","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","=",32,"S","=",64,"R","",NA,"",">",32,"R","",NA,"","=",2,"S","",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","",NA,NA,NA,"","","","","",NA,"N"
"26","03CAJANPK009","S","Salmonella","29459","YES","","Brandenburg","","03CAJANPK009-S","","CMV7CNCD","CA",1,2003,"PC","CUT/ GROUND","1/23/03","1/21/03","","","","","FDA","Retail Pork Chops","Swine","CUT/GROUND","=",2,"S","=",1,"S","=",2,"S","",NA,"","<=",0.25,"S","",NA,"","",NA,"","",NA,"","",NA,NA,"=",4,"S","",NA,NA,"=",8,"S","=",0.03,"S","",NA,"","<=",0.125,"S","",NA,NA,"",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","=",2,"S","<=",0.25,"S","",NA,"","<=",8,"S","",NA,"","",NA,"","",NA,"","=",4,"S","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","=",32,"S","<=",32,"S","",NA,"","<=",4,"S","",NA,"","=",0.5,"S","",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","",NA,NA,NA,"","","","","",NA,"N"
"35","03CAJULGT064","S","Salmonella","32997","YES","","Reading","","03CAJULGT064-S","","CMV7CNCD","CA",7,2003,"GT","","7/26/03","7/22/03","","","","","FDA","Retail Ground Turkey","Turkeys","","<=",1,"S","=",1,"S","<=",1,"S","",NA,"","<=",0.25,"S","",NA,"","",NA,"","",NA,"","",NA,NA,"=",8,"S","",NA,NA,"=",8,"S","<=",0.015,"S","",NA,"","<=",0.125,"S","",NA,NA,"",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","=",4,"S","=",0.5,"S","",NA,"","<=",8,"S","",NA,"","",NA,"","",NA,"","=",8,"S","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","=",32,"S","<=",32,"S","",NA,"","<=",4,"S","",NA,"","=",1,"S","",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","",NA,NA,NA,"","","","","",NA,"N"
"36","03CAJULGT066","S","Salmonella","32998","YES","","Hadar","","03CAJULGT066-S","","CMV7CNCD","CA",7,2003,"GT","","7/26/03","7/22/03","","","","","FDA","Retail Ground Turkey","Turkeys","","<=",1,"S","=",2,"S","=",2,"S","",NA,"","<=",0.25,"S","",NA,"","",NA,"","",NA,"","",NA,NA,"=",8,"S","",NA,NA,"=",8,"S","<=",0.015,"S","",NA,"","<=",0.125,"S","",NA,NA,"",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","=",2,"S","=",16,"R","",NA,"",">",64,"R","",NA,"","",NA,"","",NA,"","=",4,"S","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"",">",512,"R",">",64,"R","",NA,"",">",32,"R","",NA,"","=",0.5,"S","",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","",NA,NA,NA,"","","","","",NA,"N"
"39","03CAJUNCK053","S","Salmonella","30032","YES","","Heidelberg","","03CAJUNCK053-S","","CMV7CNCD","CA",6,2003,"CB","","7/1/03","6/23/03","","","","","FDA","Retail Chickens","Chickens","","=",16,"I","=",1,"S",">",32,"R","",NA,"","<=",0.25,"S","",NA,"","",NA,"","",NA,"","",NA,NA,">",32,"R","",NA,NA,"=",8,"S","<=",0.015,"S","",NA,"","<=",0.125,"S","",NA,NA,"",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","=",2,"S","=",0.5,"S","",NA,"","<=",8,"S","",NA,"","",NA,"","",NA,"","=",8,"S","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","=",32,"S","<=",32,"S","",NA,"","<=",4,"S","",NA,"","=",1,"S","",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","",NA,NA,NA,"","","","","",NA,"N"
"42","03CAJUNCK056","S","Salmonella","30033","YES","","Kentucky","","03CAJUNCK056-S","","CMV7CNCD","CA",6,2003,"CB","","6/28/03","6/23/03","","","","","FDA","Retail Chickens","Chickens","","<=",1,"S","=",1,"S","<=",1,"S","",NA,"","<=",0.25,"S","",NA,"","",NA,"","",NA,"","",NA,NA,"=",8,"S","",NA,NA,"=",4,"S","<=",0.015,"S","",NA,"","<=",0.125,"S","",NA,NA,"",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","=",2,"S","<=",0.25,"S","",NA,"","<=",8,"S","",NA,"","",NA,"","",NA,"","=",4,"S","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","<=",16,"S","<=",32,"S","",NA,"","<=",4,"S","",NA,"","=",0.5,"S","",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","",NA,NA,NA,"","","","","",NA,"N"
"46","03CAJUNGT054","S","Salmonella","30034","YES","","Typhimurium","","03CAJUNGT054-S","","CMV7CNCD","CA",6,2003,"GT","","6/28/03","6/23/03","","","","","FDA","Retail Ground Turkey","Turkeys","",">",32,"R","=",1,"S",">",32,"R","",NA,"","=",32,"R","",NA,"","",NA,"","",NA,"","",NA,NA,">",32,"R","",NA,NA,">",32,"R","=",0.25,"I","",NA,"","=",0.25,"S","",NA,NA,"",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"",">",16,"R","=",2,"S","",NA,"",">",64,"R","",NA,"","",NA,"","",NA,"",">",32,"R","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"",">",512,"R",">",64,"R","",NA,"",">",32,"R","",NA,"",">",8,"R","",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","",NA,NA,NA,"","","","","",NA,"R"
"51","03CAMARCK027","S","Salmonella","29460","YES","","Heidelberg","","03CAMARCK027-S","","CMV7CNCD","CA",3,2003,"CB","","3/28/03","3/24/03","","","","","FDA","Retail Chickens","Chickens","","<=",1,"S","=",2,"S","<=",1,"S","",NA,"","<=",0.25,"S","",NA,"","",NA,"","",NA,"","",NA,NA,"=",4,"S","",NA,NA,"=",4,"S","<=",0.015,"S","",NA,"","<=",0.125,"S","",NA,NA,"",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","=",2,"S",">",16,"R","",NA,"","<=",8,"S","",NA,"","",NA,"","",NA,"","=",4,"S","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","<=",16,"S","<=",32,"S","",NA,"","<=",4,"S","",NA,"","=",0.5,"S","",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","",NA,NA,NA,"","","","","",NA,"N"
"52","03CAMARGB024","S","Salmonella","29461","YES","","Newport","","03CAMARGB024-S","","CMV7CNCD","CA",3,2003,"GB","CUT/ GROUND","3/24/03","3/23/03","","","","","FDA","Retail Ground Beef","Cattle","CUT/GROUND",">",32,"R","=",1,"S",">",32,"R","",NA,"","=",16,"R","",NA,"","",NA,"","",NA,"","",NA,NA,">",32,"R","",NA,NA,">",32,"R","<=",0.015,"S","",NA,"","=",0.25,"S","",NA,NA,"",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"",">",16,"R","<=",0.25,"S","",NA,"","<=",8,"S","",NA,"","",NA,"","",NA,"","=",4,"S","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"",">",512,"R",">",64,"R","",NA,"",">",32,"R","",NA,"",">",8,"R","",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","",NA,NA,NA,"","","","","",NA,"R"
"68","03CAOCTCK096","S","Salmonella","33001","YES","","Kentucky","","03CAOCTCK096-S","","CMV7CNCD","CA",10,2003,"CB","","11/4/03","10/27/03","","","","","FDA","Retail Chickens","Chickens","","<=",1,"S","=",2,"S","=",2,"S","",NA,"","<=",0.25,"S","",NA,"","",NA,"","",NA,"","",NA,NA,"=",4,"S","",NA,NA,"=",4,"S","<=",0.015,"S","",NA,"","<=",0.125,"S","",NA,NA,"",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","=",2,"S","=",0.5,"S","",NA,"","<=",8,"S","",NA,"","",NA,"","",NA,"","=",4,"S","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","=",64,"S",">",64,"R","",NA,"",">",32,"R","",NA,"","=",1,"S","",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","",NA,NA,NA,"","","","","",NA,"N"
